key	lang	from-state	applied
uni.title	en	absent	yes
uni.title	ru	absent	yes
uni.title	lv	absent	yes
uni.title	th	absent	yes
uni.title	gd	absent	yes
uni.title	tt	absent	yes
uni.title	uk	absent	yes
uni.title	cs	absent	yes
uni.title	zh	absent	yes
uni.title	ko	absent	yes
uni.title	ar	absent	yes
uni.title	nl-be	absent	yes
uni.title	es	absent	yes
uni.title	nl	absent	yes
uni.title	de	absent	yes
uni.title	fr	absent	yes
uni.title	he	absent	yes
uni.title	hi	absent	yes
uni.title	bn	absent	yes
uni.title	fa	absent	yes
uni.title	ur	absent	yes
uni.title	ja	absent	yes
uni.title	da	absent	yes
uni.title	nb	absent	yes
uni.title	sv	absent	yes
uni.title	fi	absent	yes
uni.title	tr	absent	yes
uni.title	hu	absent	yes
uni.title	sa	absent	yes
uni.lede	en	absent	yes
uni.lede	ru	absent	yes
uni.lede	lv	absent	yes
uni.lede	th	absent	yes
uni.lede	gd	absent	yes
uni.lede	tt	absent	yes
uni.lede	uk	absent	yes
uni.lede	cs	absent	yes
uni.lede	zh	absent	yes
uni.lede	ko	absent	yes
uni.lede	ar	absent	yes
uni.lede	nl-be	absent	yes
uni.lede	es	absent	yes
uni.lede	nl	absent	yes
uni.lede	de	absent	yes
uni.lede	fr	absent	yes
uni.lede	he	absent	yes
uni.lede	hi	absent	yes
uni.lede	bn	absent	yes
uni.lede	fa	absent	yes
uni.lede	ur	absent	yes
uni.lede	ja	absent	yes
uni.lede	da	absent	yes
uni.lede	nb	absent	yes
uni.lede	sv	absent	yes
uni.lede	fi	absent	yes
uni.lede	tr	absent	yes
uni.lede	hu	absent	yes
uni.lede	sa	absent	yes
uni.charter.quote	en	absent	yes
uni.charter.quote	ru	absent	yes
uni.charter.quote	lv	absent	yes
uni.charter.quote	th	absent	yes
uni.charter.quote	gd	absent	yes
uni.charter.quote	tt	absent	yes
uni.charter.quote	uk	absent	yes
uni.charter.quote	cs	absent	yes
uni.charter.quote	zh	absent	yes
uni.charter.quote	ko	absent	yes
uni.charter.quote	ar	absent	yes
uni.charter.quote	nl-be	absent	yes
uni.charter.quote	es	absent	yes
uni.charter.quote	nl	absent	yes
uni.charter.quote	de	absent	yes
uni.charter.quote	fr	absent	yes
uni.charter.quote	he	absent	yes
uni.charter.quote	hi	absent	yes
uni.charter.quote	bn	absent	yes
uni.charter.quote	fa	absent	yes
uni.charter.quote	ur	absent	yes
uni.charter.quote	ja	absent	yes
uni.charter.quote	da	absent	yes
uni.charter.quote	nb	absent	yes
uni.charter.quote	sv	absent	yes
uni.charter.quote	fi	absent	yes
uni.charter.quote	tr	absent	yes
uni.charter.quote	hu	absent	yes
uni.charter.quote	sa	absent	yes
uni.charter.law	en	absent	yes
uni.charter.law	ru	absent	yes
uni.charter.law	lv	absent	yes
uni.charter.law	th	absent	yes
uni.charter.law	gd	absent	yes
uni.charter.law	tt	absent	yes
uni.charter.law	uk	absent	yes
uni.charter.law	cs	absent	yes
uni.charter.law	zh	absent	yes
uni.charter.law	ko	absent	yes
uni.charter.law	ar	absent	yes
uni.charter.law	nl-be	absent	yes
uni.charter.law	es	absent	yes
uni.charter.law	nl	absent	yes
uni.charter.law	de	absent	yes
uni.charter.law	fr	absent	yes
uni.charter.law	he	absent	yes
uni.charter.law	hi	absent	yes
uni.charter.law	bn	absent	yes
uni.charter.law	fa	absent	yes
uni.charter.law	ur	absent	yes
uni.charter.law	ja	absent	yes
uni.charter.law	da	absent	yes
uni.charter.law	nb	absent	yes
uni.charter.law	sv	absent	yes
uni.charter.law	fi	absent	yes
uni.charter.law	tr	absent	yes
uni.charter.law	hu	absent	yes
uni.charter.law	sa	absent	yes
uni.reg.bee	en	absent	yes
uni.reg.bee	ru	absent	yes
uni.reg.bee	lv	absent	yes
uni.reg.bee	th	absent	yes
uni.reg.bee	gd	absent	yes
uni.reg.bee	tt	absent	yes
uni.reg.bee	uk	absent	yes
uni.reg.bee	cs	absent	yes
uni.reg.bee	zh	absent	yes
uni.reg.bee	ko	absent	yes
uni.reg.bee	ar	absent	yes
uni.reg.bee	nl-be	absent	yes
uni.reg.bee	es	absent	yes
uni.reg.bee	nl	absent	yes
uni.reg.bee	de	absent	yes
uni.reg.bee	fr	absent	yes
uni.reg.bee	he	absent	yes
uni.reg.bee	hi	absent	yes
uni.reg.bee	bn	absent	yes
uni.reg.bee	fa	absent	yes
uni.reg.bee	ur	absent	yes
uni.reg.bee	ja	absent	yes
uni.reg.bee	da	absent	yes
uni.reg.bee	nb	absent	yes
uni.reg.bee	sv	absent	yes
uni.reg.bee	fi	absent	yes
uni.reg.bee	tr	absent	yes
uni.reg.bee	hu	absent	yes
uni.reg.bee	sa	absent	yes
uni.reg.raver	en	absent	yes
uni.reg.raver	ru	absent	yes
uni.reg.raver	lv	absent	yes
uni.reg.raver	th	absent	yes
uni.reg.raver	gd	absent	yes
uni.reg.raver	tt	absent	yes
uni.reg.raver	uk	absent	yes
uni.reg.raver	cs	absent	yes
uni.reg.raver	zh	absent	yes
uni.reg.raver	ko	absent	yes
uni.reg.raver	ar	absent	yes
uni.reg.raver	nl-be	absent	yes
uni.reg.raver	es	absent	yes
uni.reg.raver	nl	absent	yes
uni.reg.raver	de	absent	yes
uni.reg.raver	fr	absent	yes
uni.reg.raver	he	absent	yes
uni.reg.raver	hi	absent	yes
uni.reg.raver	bn	absent	yes
uni.reg.raver	fa	absent	yes
uni.reg.raver	ur	absent	yes
uni.reg.raver	ja	absent	yes
uni.reg.raver	da	absent	yes
uni.reg.raver	nb	absent	yes
uni.reg.raver	sv	absent	yes
uni.reg.raver	fi	absent	yes
uni.reg.raver	tr	absent	yes
uni.reg.raver	hu	absent	yes
uni.reg.raver	sa	absent	yes
uni.reg.cypher	en	absent	yes
uni.reg.cypher	ru	absent	yes
uni.reg.cypher	lv	absent	yes
uni.reg.cypher	th	absent	yes
uni.reg.cypher	gd	absent	yes
uni.reg.cypher	tt	absent	yes
uni.reg.cypher	uk	absent	yes
uni.reg.cypher	cs	absent	yes
uni.reg.cypher	zh	absent	yes
uni.reg.cypher	ko	absent	yes
uni.reg.cypher	ar	absent	yes
uni.reg.cypher	nl-be	absent	yes
uni.reg.cypher	es	absent	yes
uni.reg.cypher	nl	absent	yes
uni.reg.cypher	de	absent	yes
uni.reg.cypher	fr	absent	yes
uni.reg.cypher	he	absent	yes
uni.reg.cypher	hi	absent	yes
uni.reg.cypher	bn	absent	yes
uni.reg.cypher	fa	absent	yes
uni.reg.cypher	ur	absent	yes
uni.reg.cypher	ja	absent	yes
uni.reg.cypher	da	absent	yes
uni.reg.cypher	nb	absent	yes
uni.reg.cypher	sv	absent	yes
uni.reg.cypher	fi	absent	yes
uni.reg.cypher	tr	absent	yes
uni.reg.cypher	hu	absent	yes
uni.reg.cypher	sa	absent	yes
uni.reg.law	en	absent	yes
uni.reg.law	ru	absent	yes
uni.reg.law	lv	absent	yes
uni.reg.law	th	absent	yes
uni.reg.law	gd	absent	yes
uni.reg.law	tt	absent	yes
uni.reg.law	uk	absent	yes
uni.reg.law	cs	absent	yes
uni.reg.law	zh	absent	yes
uni.reg.law	ko	absent	yes
uni.reg.law	ar	absent	yes
uni.reg.law	nl-be	absent	yes
uni.reg.law	es	absent	yes
uni.reg.law	nl	absent	yes
uni.reg.law	de	absent	yes
uni.reg.law	fr	absent	yes
uni.reg.law	he	absent	yes
uni.reg.law	hi	absent	yes
uni.reg.law	bn	absent	yes
uni.reg.law	fa	absent	yes
uni.reg.law	ur	absent	yes
uni.reg.law	ja	absent	yes
uni.reg.law	da	absent	yes
uni.reg.law	nb	absent	yes
uni.reg.law	sv	absent	yes
uni.reg.law	fi	absent	yes
uni.reg.law	tr	absent	yes
uni.reg.law	hu	absent	yes
uni.reg.law	sa	absent	yes
uni.reg.corpus	en	absent	yes
uni.reg.corpus	ru	absent	yes
uni.reg.corpus	lv	absent	yes
uni.reg.corpus	th	absent	yes
uni.reg.corpus	gd	absent	yes
uni.reg.corpus	tt	absent	yes
uni.reg.corpus	uk	absent	yes
uni.reg.corpus	cs	absent	yes
uni.reg.corpus	zh	absent	yes
uni.reg.corpus	ko	absent	yes
uni.reg.corpus	ar	absent	yes
uni.reg.corpus	nl-be	absent	yes
uni.reg.corpus	es	absent	yes
uni.reg.corpus	nl	absent	yes
uni.reg.corpus	de	absent	yes
uni.reg.corpus	fr	absent	yes
uni.reg.corpus	he	absent	yes
uni.reg.corpus	hi	absent	yes
uni.reg.corpus	bn	absent	yes
uni.reg.corpus	fa	absent	yes
uni.reg.corpus	ur	absent	yes
uni.reg.corpus	ja	absent	yes
uni.reg.corpus	da	absent	yes
uni.reg.corpus	nb	absent	yes
uni.reg.corpus	sv	absent	yes
uni.reg.corpus	fi	absent	yes
uni.reg.corpus	tr	absent	yes
uni.reg.corpus	hu	absent	yes
uni.reg.corpus	sa	absent	yes
uni.father	en	absent	yes
uni.father	ru	absent	yes
uni.father	lv	absent	yes
uni.father	th	absent	yes
uni.father	gd	absent	yes
uni.father	tt	absent	yes
uni.father	uk	absent	yes
uni.father	cs	absent	yes
uni.father	zh	absent	yes
uni.father	ko	absent	yes
uni.father	ar	absent	yes
uni.father	nl-be	absent	yes
uni.father	es	absent	yes
uni.father	nl	absent	yes
uni.father	de	absent	yes
uni.father	fr	absent	yes
uni.father	he	absent	yes
uni.father	hi	absent	yes
uni.father	bn	absent	yes
uni.father	fa	absent	yes
uni.father	ur	absent	yes
uni.father	ja	absent	yes
uni.father	da	absent	yes
uni.father	nb	absent	yes
uni.father	sv	absent	yes
uni.father	fi	absent	yes
uni.father	tr	absent	yes
uni.father	hu	absent	yes
uni.father	sa	absent	yes
uni.mother	en	absent	yes
uni.mother	ru	absent	yes
uni.mother	lv	absent	yes
uni.mother	th	absent	yes
uni.mother	gd	absent	yes
uni.mother	tt	absent	yes
uni.mother	uk	absent	yes
uni.mother	cs	absent	yes
uni.mother	zh	absent	yes
uni.mother	ko	absent	yes
uni.mother	ar	absent	yes
